"","who_retweet","who_post"
"1","Futuropolis","20minutesCult"
"2","leedsgarcia","@MarioDB"
"3","matteomiele","AIIndia"
"4","proactivconsult","AJELive"
"5","FouadRamsis","AJEnglish"
"6","buner_khan","AJEnglish"
"7","NadhifaiAdow","AJEnglish"
"8","tonysmevs","AddThis"
"9","IAm__TipsY","AfricaFactsZone"
"10","eljbee","AlbertoNardelli"
"11","ophidianpilot","AmericanThinker"
"12","psandeman","AmnestyUK"
"13","OpPinkPower","Anon_GovWatchCA"
"14","Battsby","AresePollard"
"15","americasvoice","Arturo_Sarukhan"
"16","iRSSNews","BBC"
"17","7HenriettaSt","BBC"
"18","Ozegezigizaga","BBCBreaking"
"19","KeoghsSolicitor","BBCBusiness"
"20","YildirimNews","BBCNews"
"21","northernrob","BBCNews"
"22","nicoltetta","BBCNews"
"23","YildirimNews","BBCNews"
"24","PooleConstruct","BBCNews"
"25","homeojo","BBCNews"
"26","SwetangJoshi","BBCNews"
"27","YildirimNews","BBCNews"
"28","OanaRomocea","BBCNews"
"29","5lanky","BBCr4today"
"30","jonesthescribe","BBCr4today"
"31","DetentionWatch","BIDdetention"
"32","NewsmanSilva","BNPolitics"
"33","susanpai","BPC_Bipartisan"
"34","AsylumWelcome","Backbencher"
"35","AG_ThorpeApps","Backbencher"
"36","BruceKAnderson","Balkaninsight"
"37","the_ekeen","BarackObama"
"38","NewlandChase","BigHospitality"
"39","will385","BreitbartNews"
"40","exodus_2011","BreitbartNews"
"41","larryvaughn10","BreitbartNews"
"42","Gopisdead","BreitbartNews"
"43","Gibbsdithers","BreitbartNews"
"44","cuda1791","BreitbartNews"
"45","TSRLA","BreitbartNews"
"46","lynn_lwrightpcd","BreitbartNews"
"47","MoberlyG","BreitbartNews"
"48","buchtan","BritInfluence"
"49","HearnDylan","BritInfluence"
"50","ha6dll","BritInfluence"
"51","mpEsri","BritainLovesBiz"
"52","AnthroOfEurope","COMPAS_oxford"
"53","harrietyarker","CallingEngland"
"54","minesh1112","Cebr_uk"
"55","Ethnofascist","CelticNational"
"56","LINGsCARS","Channel4News"
"57","_LauraMack","Channel4News"
"58","ogedede","Chic4kay"
"59","oamanchukwu","Chic4kay"
"60","JoBroadwood","Civitas_UK"
"61","glykosymoritis","ConversationEDU"
"62","TessQuinton","ConversationEDU"
"63","Instedconsult","ConversationUK"
"64","jenthoms","ConversationUK"
"65","RichardCR56","ConversationUK"
"66","smudge1","ConversationUK"
"67","AkshatRathi","ConversationUK"
"68","MariaDuggan","ConversationUK"
"69","cummings_clare","ConversationUK"
"70","vittoriolonghi","ConversationUK"
"71","sparkerworld","ConversationUK"
"72","YasminAli","ConversationUK"
"73","JonathanKBall","ConversationUK"
"74","RogerCrouch1","ConversationUK"
"75","milwardoliverg","ConversationUK"
"76","maxfarrar","ConversationUK"
"77","MigrantVoiceUK","ConversationUK"
"78","MichelleP_uk","ConversationUK"
"79","louisefk","ConversationUK"
"80","maxfarrar","ConversationUK"
"81","phillcole40","ConversationUK"
"82","lizzy_davies","ConversationUK"
"83","Diana_Podar","ConversationUK"
"84","gafijczuk","ConversationUK"
"85","TheDragonflyC","ConversationUK"
"86","tritonsmermaid","ConversationUK"
"87","NatAguileraSAGE","ConversationUK"
"88","janewilson","ConversationUK"
"89","PenderSparks","ConversationUK"
"90","philosopher1978","ConversationUK"
"91","Mariko884","ConversationUK"
"92","SoupWaiter","ConversationUK"
"93","markdoidge","ConversationUK"
"94","Bordercrim","ConversationUK"
"95","JonasAlmgren","ConversationUK"
"96","se_collins","ConversationUK"
"97","emmanuellechaz","ConversationUK"
"98","DavidPriceUCL","ConversationUK"
"99","KintheWorld","ConversationUK"
"100","JulianPetley","ConversationUK"
"101","Roisin_OConnor","ConversationUK"
"102","Bordercrim","ConversationUK"
"103","EwaDudaMikulin","ConversationUK"
"104","Paulcrofts","ConversationUK"
"105","pully8","ConversationUK"
"106","DearsonWinyard","ConversationUK"
"107","rhtraining","ConversationUK"
"108","LeonaAWalsh","ConversationUK""@alededwardscym"
"109","JHWandall","DOW_UK"
"110","atangledtwat","DVATW"
"111","PARRY1956","Dai"
"112","BrodickStreet","DailyM"
"113","CMSnewyork","DailyMailUS"
"114","dontfundit","DailyMailUS"
"115","CarolineKirby15","DailyMailUS"
"116","Vegas_Vintage","DailyMailUS"
"117","The_UK_Migrant","DailyMirror"
"118","shail1960","DailyMirror"
"119","TEMPLARXTRUTH","Daily_Express"
"120","mraidenrussell","Daily_Express"
"121","_Got_To_Be_Free","Daily_Express"
"122","fadisialkot","DavidJo52951945"
"123","TurnbullRuther","DayNewsCo"
"124","DefinitiveUK","DefinitiveUK"
"125","StayHuman2013","DetentionForum"
