"","who_retweet","who_post"
"1","Stevo_Atkinson","121Visas"
"2","wolecypher","36Daily_Com"
"3","PappyDera","36Daily_Com"
"4","wolecypher","36Daily_Com"
"5","PappyDera","36Daily_Com"
"6","KingKongDizzle","36daily_com"
"7","WoruleCool","36daily_com"
"8","NG_DailyNews","36daily_com"
"9","NG_DailyNews","36daily_com"
"10","KingKongDizzle","36daily_com"
"11","mundocitizen","38_degrees"
"12","olomi_F","937RhythmFm"
"13","FcukNobodySays","9GAG"
"14","houndworthy","@inspiringshops"
"15","NicoletteGlazer","ABC"
"16","CO_Politico","ABC"
"17","bernallaw","ABC"
"18","rajmjamel","ABSCBNNews"
"19","ricardonotes","AILANational"
"20","viveteunmorire","AJELive"
"21","FatherofBlair","AJELive"
"22","markwonderful","AJELive"
"23","therattattat","AJELive"
"24","femzscolari","AJEnglish"
"25","agabus2","AJEnglish"
"26","duranaca","AJEnglish"
"27","sabbah","AJEnglish"
"28","julio_mayorga","AJEnglish"
"29","ZainahELHaroun","AJEnglish"
"30","chembezikay","AJEnglish"
"31","Madudaniel1","AJEnglish"
"32","JGreenwood01","AJEnglish"
"33","yanteuces","AMB_Sunday"
"34","AYRLandscape","AP"
"35","LINGsCARS","Action_2014"
"36","David_MacLean","AdamBienkov"
"37","maximumneto","AddThis"
"38","AlanPranskyAtty","AlanPranskyAtty"
"39","Mitkrieger","AlecJRoss"
"40","BBC_WHYS","Alex_Jakana"
"41","Dee_Hoer","AllenWest"
"42","ricardonotes","AmandaBeadle"
"43","MoisBenarroch","AmazonUK"
"44","MoisBenarroch","AmazonUK"
"45","MoisBenarroch","AmazonUK"
"46","MoisBenarroch","AmazonUK"
"47","AFRICASeenHeard","AmazonUK"
"48","rjjoconnell","AmazonUK"
"49","Junying007","AmazonUK"
"50","PERPETUAL_CASH","AmazonUK"
"51","PERPETUAL_CASH","AmazonUK"
"52","OpPinkPower","Anon_GovWatchCA"
"53","semprecontro","Anon_GovWatchCA"
"54","ariyanths","ArchiveDigger"
"55","ksfinley","ArchiveDigger"
"56","VibeVal1","ArcticFox2016"
"57","CR_School","Arturo_Sarukhan"
"58","commonpatriot","B4INFeatured"
"59","BobbyGardiner","BBC"
"60","iRSSNews","BBC"
"61","iRSSNews","BBC"
"62","arconic","BBCBreaking"
"63","KrisYanSen","BBCBreaking"
"64","onebrowncow","BBCBreaking"
"65","SarathRamakrish","BBCBreaking"
"66","muslimfeminist","BBCBreaking"
"67","hortorum","BBCBreaking"
"68","MargoJMilne","BBCBreaking"
"69","Artsmonkey1","BBCBreaking"
"70","cvalente","BBCBreaking"
"71","TigranSG","BBCBreaking"
"72","Dukenfield","BBCBreaking"
"73","loushuff","BBCBreaking"
"74","LarenKancashire","BBCBreaking"
"75","GodfreyYouth","BBCBreaking"
"76","hairydel","BBCBreaking"
"77","itspabs","BBCBreaking"
"78","ktmatrix","BBCBreaking"
"79","OneStoryNews","BBCBreaking"
"80","jammajesty","BBCBreaking"
"81","sebboow","BBCBreaking"
"82","matisaksk","BBCNews"
"83","JoannaLowy87","BBCNews"
"84","7HenriettaSt","BBCNews"
"85","HLEThinkTank","BBCNews"
"86","YildirimNews","BBCNews"
"87","YildirimNews","BBCNews"
"88","SydesJokes","BBCNews"
"89","drchriscole","BBCNewsGraphics"
"90","EmmaAbuDhabi","BBCNewsGraphics"
"91","shounak_d","BBCNewsUKfeed"
"92","121Visas","BBCPolitics"
"93","samwolfson","BBCR1"
"94","randomsubu","BBCWorld"
"95","lucyknighton","BCWUK"
"96","ClaranetSOHO","BCWUK"
"97","HyderabadK","BI_Careers"
"98","littlebytesnews","BarracudaMama"
"99","ConceptCareNews","BelTel"
"100","Roselady64","BetterOffOut"
"101","stannyHA","BigBlackBarry"
"102","maverick_mac","BigIssueScots"
"103","Lutontweets","BillyBeanpole84"
"104","ICANFLA","BizPacReview"
"105","heifer109","BizPacReview"
"106","LloydKilmerPhD","BloombergNews"
"107","GreatLawFirm","BookCrossing"
"108","aditusNGO","Bordercrim"
"109","lillitnaib","BostonGlobe"
"110","TosinSongz","BreakingNewsUK"
"111","SteMotson","BreakingNewsUK"
"112","mefbama","BreitbartConvo"
"113","tnovak7","BreitbartN"
"114","surfcitysocal","BreitbartNews"
"115","7katzeyez7","BreitbartNews"
"116","messiah2kshow","BreitbartNews"
"117","jake9860","BreitbartNews"
"118","peddoc63","BreitbartNews"
"119","ForMotionCreatv","BreitbartNews"
"120","BBigBunny","BreitbartNews"
"121","RaheemJKassam","BreitbartNews"
"122","TalOfer","BreitbartNews"
"123","mundyspeaks","BreitbartNews"
"124","Nexus7900","BreitbartNews"
"125","FAIRImmigration","BreitbartNews"
"126","RaheemJKassam","BreitbartNews"
"127","EdBaker3000","BreitbartNews"
"128","jbmesser53","BreitbartNews"
"129","jbmesser53","BreitbartNews"
"130","RaheemJKassam","BreitbartNews"
"131","RaheemJKassam","BreitbartNews"
"132","BBigBunny","BreitbartNews"
"133","jbmesser53","BreitbartNews"
"134","RaheemJKassam","BreitbartNews"
"135","bettymowery","BreitbartNews"
"136","TehachapiHomes","BreitbartNews"
"137","MdlMurray","BreitbartNews"
